protein,gene,module,kME_own_module
Q9P291,ARMCX1,4,0.31198153758490177
Q9P299,COPZ2,0,NA
Q9P2E9,RRBP1,1,0.6117636863211101
Q9P2J5,LARS1,3,0.3915986022500279
Q9P2R3,ANKFY1,1,0.6011266622192714
Q9P2R7,SUCLA2,3,0.8655002761854558
Q9P2T1,GMPR2,0,NA
Q9P2X0,DPM3,5,0.3380356103160962
Q9P2X3,IMPACT,0,NA
Q9UBB4,ATXN10,3,0.34729084462141263
Q9UBC2,EPS15L1,0,NA
Q9UBE0,SAE1,0,NA
Q9UBF2,COPG2,0,NA
Q9UBF6,RNF7,4,0.6105071749776222
Q9UBF9,MYOT,2,0.8629981498200177
Q9UBG0,MRC2,1,0.49319044146631713
Q9UBI6,GNG12,1,0.6814741362922734
Q9UBQ0,VPS29,1,0.38707550372714006
Q9UBQ5,EIF3K,0,NA
Q9UBQ7,GRHPR,7,0.4815629680992246
Q9UBR2,CTSZ,1,0.48506074196933086
Q9UBS8,RNF14,7,0.3362857261807334
Q9UBT2,UBA2,1,0.3456342717741198
Q9UBW8,COPS7A,4,0.3145421553322828
Q9UBX3,SLC25A10,5,0.30477375709143056
Q9UBX5,FBLN5,1,0.40844545034154023
Q9UBY9,HSPB7,2,0.2956388210979609
Q9UDW1,UQCR10,3,0.43465298454924534
Q9UDX5,MTFP1,0,NA
Q9UDY4,DNAJB4,2,0.7412561885822396
Q9UEY8,ADD3,1,0.6472934874261662
Q9UFN0,NIPSNAP3A,0,NA
Q9UG63,ABCF2,8,0.5709118447347085
Q9UGI8,TES,1,0.47810262453262375
Q9UGI9,PRKAG3,7,0.38895553258619514
Q9UGM6,WARS2,3,0.42272926315679027
Q9UGP8,SEC63,2,0.29159506809059066
Q9UH62,ARMCX3,2,0.29063519060694204
Q9UH90,FBXO40,0,NA
Q9UH99,SUN2,2,0.308563134974875
Q9UHA4,LAMTOR3,0,NA
Q9UHB9,SRP68,0,NA
Q9UHD1,CHORDC1,0,NA
Q9UHD8,SEPTIN9,1,0.6045202366539931
Q9UHD9,UBQLN2,0,NA
Q9UHG3,PCYOX1,0,NA
Q9UHL4,DPP7,1,0.30932893653833743
Q9UHP9,SMPX,0,NA
Q9UHQ4,BCAP29,2,0.38642111725043254
Q9UHQ9,CYB5R1,8,0.4872311100822749
Q9UHV9,PFDN2,7,0.39230112160360814
Q9UHX1,PUF60,0,NA
Q9UHY1,NRBP1,0,NA
Q9UHY7,ENOPH1,4,0.4979161938171344
Q9UI09,NDUFA12,10,0.7292164725111472
Q9UI10,EIF2B4,0,NA
Q9UI12,ATP6V1H,4,0.433802433433373
Q9UI30,TRMT112,0,NA
Q9UI47,CTNNA3,6,0.36340567633078535
Q9UIA9,XPO7,0,NA
Q9UIC8,LCMT1,7,0.4317833446256659
Q9UID3,VPS51,0,NA
Q9UII2,ATP5IF1,0,NA
Q9UII6,DUSP13,7,0.31650179040020754
Q9UIJ7,AK3,3,0.5834422141174802
Q9UIQ6,LNPEP,0,NA
Q9UJ68,MSRA,0,NA
Q9UJ70,NAGK,1,0.5034291788750711
Q9UJS0,SLC25A13,0,NA
Q9UJU6,DBNL,1,0.6184757555346467
Q9UJW0,DCTN4,0,NA
Q9UJY1,HSPB8,2,0.7284176567321174
Q9UJY5,GGA1,7,0.42682240278554645
Q9UJZ1,STOML2,0,NA
Q9UK41,VPS28,0,NA
Q9UK45,LSM7,7,0.55284297628257
Q9UK76,JPT1,6,0.4572092393917937
Q9UK99,FBXO3,3,0.3817024659677185
Q9UKG1,APPL1,6,0.6045835605673666
Q9UKL6,PCTP,4,0.36333812284065903
Q9UKP3,ITGB1BP2,3,0.39372619849956314
Q9UKS6,PACSIN3,8,0.5367969977730078
Q9UKU7,ACAD8,3,0.5734408874049111
Q9UKV8,AGO2,2,0.44163996864142874
Q9UKX2,MYH2,2,0.8600329686598261
Q9UKX3,MYH13,2,0.8670162796110096
Q9UKY7,CDV3,0,NA
Q9UL15,BAG5,0,NA
Q9UL25,RAB21,0,NA
Q9UL46,PSME2,1,0.30755504172629244
Q9ULA0,DNPEP,1,0.3240157491453311
Q9ULC0,EMCN,0,NA
Q9ULC4,MCTS1,0,NA
Q9ULP9,TBC1D24,5,0.3695892903787786
Q9ULT8,HECTD1,4,0.4277087103485627
Q9ULV4,CORO1C,1,0.5540824109459058
Q9ULX7,CA14,3,0.6666064533339742
Q9UM00,TMCO1,0,NA
Q9UM22,EPDR1,0,NA
Q9UMS0,NFU1,0,NA
Q9UMS6,SYNPO2,2,0.9490684939527567
Q9UMX0,UBQLN1,7,0.537655893930258
Q9UMX5,NENF,9,0.46841630702324627
Q9UMY4,SNX12,0,NA
Q9UN36,NDRG2,5,0.3415811368351553
Q9UN37,VPS4A,0,NA
Q9UN42,ATP1B4,0,NA
Q9UN86,G3BP2,8,0.42061106581223334
Q9UNE7,STUB1,6,0.5432124512462359
Q9UNF0,PACSIN2,0,NA
Q9UNH7,SNX6,1,0.630603211049154
Q9UNM6,PSMD13,0,NA
Q9UNN5,FAF1,0,NA
Q9UNP9,PPIE,4,0.32342434669934317
Q9UNS2,COPS3,6,0.3873886753051247
Q9UNZ2,NSFL1C,5,0.46082082571108374
Q9UP65,PLA2G4C,6,0.4946734929681263
Q9UPN7,PPP6R1,6,0.39307688997340545
Q9UPQ0,LIMCH1,2,0.7440220775373314
Q9UPR0,PLCL2,4,0.2993906052747933
Q9UPU5,USP24,4,0.5706944352151417
Q9UPY8,MAPRE3,0,NA
Q9UQ16,DNM3,9,0.5094563117079313
Q9UQ49,NEU3,0,NA
Q9UQ80,PA2G4,8,0.7770344929297178
Q9UQ90,SPG7,0,NA
Q9UQK1,PPP1R3C,0,NA
Q9UQM7,CAMK2A,2,0.5184402250111075
Q9UQN3,CHMP2B,0,NA
Q9Y217,MTMR6,2,0.3456246725991744
Q9Y224,RTRAF,8,0.5611029444314203
Q9Y230,RUVBL2,0,NA
Q9Y235,APOBEC2,0,NA
Q9Y237,PIN4,0,NA
Q9Y262,EIF3L,8,0.3705933950562425
Q9Y263,PLAA,4,0.5343197866910959
Q9Y265,RUVBL1,0,NA
Q9Y266,NUDC,0,NA
Q9Y276,BCS1L,3,0.406551400106377
Q9Y277,VDAC3,10,0.5765077833460805
Q9Y281,CFL2,6,0.3137134170945735
Q9Y285,FARSA,8,0.7967641472801394
Q9Y295,DRG1,0,NA
Q9Y2A7,NCKAP1,1,0.3161615248409713
Q9Y2B0,CNPY2,0,NA
Q9Y2B9,PKIG,5,0.33766510180754317
Q9Y2E4,DIP2C,4,0.4792896438855526
Q9Y2H0,DLGAP4,0,NA
Q9Y2H1,STK38L,7,0.3754643516678854
Q9Y2I8,WDR37,0,NA
Q9Y2J8,PADI2,0,NA
Q9Y2K3,MYH15,2,0.49656066936615556
Q9Y2Q3,GSTK1,3,0.48565249066989735
Q9Y2Q5,LAMTOR2,0,NA
Q9Y2Q9,MRPS28,0,NA
Q9Y2R0,COA3,3,0.31199581276865784
Q9Y2R5,MRPS17,0,NA
Q9Y2R9,MRPS7,2,0.32093152193605884
Q9Y2S2,CRYL1,0,NA
Q9Y2S6,TMA7,0,NA
Q9Y2S7,POLDIP2,3,0.5019888897689679
Q9Y2T3,GDA,7,0.3030253447538147
Q9Y2V2,CARHSP1,5,0.6177555844848663
Q9Y2W1,THRAP3,5,0.3199533302659706
Q9Y2X3,NOP58,2,0.42756547804508155
Q9Y2Z0,SUGT1,0,NA
Q9Y2Z4,YARS2,0,NA
Q9Y2Z9,COQ6,3,0.5858570332488253
Q9Y305,ACOT9,3,0.665752526242636
Q9Y315,DERA,5,0.5198352169883317
Q9Y316,MEMO1,2,0.4534869580007654
Q9Y320,TMX2,0,NA
Q9Y333,LSM2,0,NA
Q9Y365,STARD10,0,NA
Q9Y371,SH3GLB1,5,0.3574713504279882
Q9Y375,NDUFAF1,3,0.31941396933296456
Q9Y376,CAB39,6,0.39845532654440413
Q9Y383,LUC7L2,0,NA
Q9Y394,DHRS7,0,NA
Q9Y399,MRPS2,3,0.40380617535512703
Q9Y3A3,MOB4,0,NA
Q9Y3A5,SBDS,4,0.5994384055846073
Q9Y3A6,TMED5,0,NA
Q9Y3B3,TMED7,7,0.4271493714412958
Q9Y3B4,SF3B6,2,0.3978228926121156
Q9Y3B7,MRPL11,3,0.46548052061500644
Q9Y3B8,REXO2,5,0.4359855269677775
Q9Y3C4,TPRKB,0,NA
Q9Y3C6,PPIL1,0,NA
Q9Y3D2,MSRB2,3,0.392457335701751
Q9Y3D3,MRPS16,0,NA
Q9Y3D6,FIS1,0,NA
Q9Y3D7,PAM16,3,0.3276679402805852
Q9Y3D8,AK6,0,NA
Q9Y3D9,MRPS23,3,0.4806658378428361
Q9Y3E5,PTRH2,6,0.309864151827271
Q9Y3E7,CHMP3,0,NA
Q9Y3F4,STRAP,0,NA
Q9Y3I0,RTCB,8,0.7023700755135042
Q9Y3I1,FBXO7,5,0.7589675355468695
Q9Y3L5,RAP2C,0,NA
Q9Y3P9,RABGAP1,4,0.40002781377115654
Q9Y3S2,ZNF330,6,0.4661138189915512
Q9Y3U8,RPL36,2,0.3209967910146245
Q9Y3Z3,SAMHD1,1,0.5941074373167309
Q9Y450,HBS1L,4,0.5630784154339988
Q9Y490,TLN1,1,0.9213571224861715
Q9Y4E8,USP15,5,0.5644602073230683
Q9Y4G6,TLN2,2,0.4684813437934011
Q9Y4J8,DTNA,2,0.44925834801044345
Q9Y4L1,HYOU1,0,NA
Q9Y4W6,AFG3L2,3,0.6519512085065903
Q9Y4X5,ARIH1,4,0.7092591895149265
Q9Y4Z0,LSM4,0,NA
Q9Y508,RNF114,4,0.38305364909352296
Q9Y512,SAMM50,10,0.7399600676949902
Q9Y570,PPME1,0,NA
Q9Y584,TIMM22,3,0.30919384021550406
Q9Y5A7,NUB1,0,NA
Q9Y5J7,TIMM9,0,NA
Q9Y5J9,TIMM8B,3,0.3839036505630598
Q9Y5K5,UCHL5,0,NA
Q9Y5K8,ATP6V1D,0,NA
Q9Y5L0,TNPO3,0,NA
Q9Y5L4,TIMM13,3,0.5967007917170749
Q9Y5M8,SRPRB,0,NA
Q9Y5P4,CERT1,4,0.31101685305712035
Q9Y5P6,GMPPB,5,0.47441183229736356
Q9Y5R8,TRAPPC1,9,0.31800562843552654
Q9Y5S9,RBM8A,5,0.34343273648107375
Q9Y5U8,MPC1,3,0.350277014199968
Q9Y5V0,ZNF706,2,0.3165822754037524
Q9Y5X1,SNX9,0,NA
Q9Y5X3,SNX5,1,0.32877992100426084
Q9Y5Y2,NUBP2,6,0.43613055394305644
Q9Y5Z4,HEBP2,6,0.5240006982296365
Q9Y613,FHOD1,4,0.5809911433794368
Q9Y623,MYH4,2,0.7777676865876714
Q9Y639,NPTN,0,NA
Q9Y646,CPQ,1,0.5461552625767612
Q9Y673,ALG5,0,NA
Q9Y676,MRPS18B,3,0.5716252775882094
Q9Y678,COPG1,1,0.41804327871809127
Q9Y696,CLIC4,1,0.7662950100101564
Q9Y697,NFS1,3,0.3337331080180167
Q9Y6A9,SPCS1,0,NA
Q9Y6B6,SAR1B,4,0.4384906918044724
Q9Y6C9,MTCH2,10,0.7256563939347108
Q9Y6E0,STK24,5,0.3797101477296161
Q9Y6E2,BZW2,4,0.5158249076627797
Q9Y6G5,COMMD10,1,0.38741512570452025
Q9Y6G9,DYNC1LI1,0,NA
Q9Y6H1,CHCHD2,0,NA
Q9Y6I9,TEX264,0,NA
Q9Y6M9,NDUFB9,10,0.7843608752867287
Q9Y6N1,COX11,4,0.4992057584051213
Q9Y6N5,SQOR,1,0.4284589254539698
Q9Y6P5,SESN1,4,0.43512892726078606
Q9Y6W3,CAPN7,0,NA
Q9Y6X5,ENPP4,0,NA
Q9Y6Y0,IVNS1ABP,0,NA
Q9Y6Y8,SEC23IP,0,NA
